date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-14,2015,1,14,AE→US,AE,US,569,982,2,0,569.0,569.0,569.0,569.0,569.0,569.0,569.0
2015-01-14,2015,1,14,AU→US,AU,US,2416,3327,10,2,2416.0,2416.0,2416.0,2416.0,2416.0,2416.0,2416.0
2015-01-14,2015,1,14,CN→CA,CN,CA,362,516,2,0,362.0,362.0,362.0,362.0,362.0,362.0,362.0
2015-01-14,2015,1,14,CN→US,CN,US,1694,2700,8,0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0
2015-01-14,2015,1,14,DE→US,DE,US,190,396,1,0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
2015-01-14,2015,1,14,GB→US,GB,US,359,702,2,0,359.0,359.0,359.0,359.0,359.0,359.0,359.0
2015-01-14,2015,1,14,HK→CA,HK,CA,431,792,2,0,431.0,431.0,431.0,431.0,431.0,431.0,431.0
2015-01-14,2015,1,14,HK→US,HK,US,446,702,2,0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
2015-01-14,2015,1,14,JP→CA,JP,CA,407,516,2,1,407.0,407.0,407.0,407.0,407.0,407.0,407.0
2015-01-14,2015,1,14,JP→US,JP,US,1904,2712,9,1,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0
2015-01-14,2015,1,14,KR→CA,KR,CA,321,516,2,0,321.0,321.0,321.0,321.0,321.0,321.0,321.0
2015-01-14,2015,1,14,KR→US,KR,US,946,1614,5,0,946.0,946.0,946.0,946.0,946.0,946.0,946.0
2015-01-14,2015,1,14,SG→US,SG,US,561,934,4,0,561.0,561.0,561.0,561.0,561.0,561.0,561.0
2015-01-14,2015,1,14,TW→US,TW,US,831,1308,4,0,831.0,831.0,831.0,831.0,831.0,831.0,831.0
2015-01-15,2015,1,15,AE→US,AE,US,672,982,2,0,672.0,672.0,672.0,672.0,672.0,672.0,672.0
2015-01-15,2015,1,15,AU→US,AU,US,3063,3327,10,7,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0
2015-01-15,2015,1,15,CN→CA,CN,CA,336,516,2,0,336.0,336.0,336.0,336.0,336.0,336.0,336.0
2015-01-15,2015,1,15,CN→US,CN,US,1827,2700,8,1,1827.0,1827.0,1827.0,1827.0,1827.0,1827.0,1827.0
2015-01-15,2015,1,15,DE→US,DE,US,212,396,1,0,212.0,212.0,212.0,212.0,212.0,212.0,212.0
